wikipedia_movie_id,movie_box_office_revenue,budget,opening_weekend,rating_score,producer,release_year
992455,916172.0,,32061.0,5.7,Ken Russell,1987
993532,10145.0,,,7.1,Delmer Daves,1950
1004644,,16000.0,,3.0,Phil Tucker,1953
1005650,4760014.0,7000000.0,55765.0,6.2,Mitch Davis,2002
1005660,9638258.0,5000000.0,406651.0,6.7,Émile Gaudreault,2003
1009516,21839377.0,30000000.0,8679028.0,5.6,Charles Stone III,2004
1010796,13539458.0,2500000.0,4258063.0,6.0,Tibor Takács,1987
1017650,,300000.0,,6.2,Paul Bartel,1975
1018216,34793160.0,14000000.0,5640712.0,6.7,Randal Kleiser,1991
1024760,,,,7.6,Anthony Mann,1950
1026452,,5115000.0,,6.8,Richard Fleischer,1966
1030073,8400000.0,16000000.0,2250000.0,5.1,Ronald Neame,1979
1031231,370787.0,,,8.0,Emir Kusturica,1998
1031588,256.0,6500000.0,,6.7,Paul Verhoeven,1985
1032266,84447.0,12000000.0,19610.0,6.7,Petter Næss,2006
1032643,3335984.0,12000000.0,1465476.0,5.5,Bob Balaban,1993
1033477,30120671.0,25000000.0,6900000.0,4.8,Frank M. Calo,2004
1039322,32417995.0,,10593609.0,6.2,Penelope Spheeris,1996
1039551,7941977.0,30000000.0,3715480.0,5.1,Mike Binder,1994
1042090,21036771.0,,5240816.0,5.4,Tom Ropelewski,1990
1044875,91258000.0,11000000.0,8881035.0,6.7,Alan Metter,1986
1045723,11341016.0,27000000.0,3254940.0,6.3,Michael Lembeck,2004
1047463,91036760.0,25000000.0,18014503.0,6.1,Andrzej Bartkowiak,2000
1051653,,6000000.0,,6.5,Norman Jewison,1975
1053502,2971219.0,5300000.0,14953.0,6.8,Olivier Assayas,2004
1054845,34337258.0,10203000.0,,6.1,Kunihiko Yuyama,2005
1056696,7000000.0,18000000.0,1617636.0,6.2,Paul Schrader,1982
1059238,9129999.0,18000000.0,3121752.0,5.9,Ted Kotcheff,1988
1061565,26558.0,3500000.0,11888.0,6.7,Jeremy Thomas,1999
1062036,2136381.0,,48438.0,5.5,Paul Aaron,1987
1076211,10904930.0,40997769.0,2811355.0,6.6,Christopher Monger,1995
1076567,,6000000.0,,5.8,Jerry Jameson,1977
1087895,,350000.0,,6.8,Paul Bartel,1982
1093364,372.0,,,7.2,Alfred Hitchcock,1953
1094516,,,,6.7,Melvin Frank,1954
1095954,,1519000.0,,6.5,Clarence Brown,1939
1099178,25535432.0,,4416022.0,6.8,Frank Oz,1984
1108697,12421583.0,5000000.0,232184.0,7.4,John Sayles,1996
1111223,882290.0,10000000.0,471775.0,6.3,David Webb Peoples,1990
1113278,22611954.0,25000000.0,6014400.0,5.8,Ernest R. Dickerson,1996
1114086,,,,6.0,Steven Vidler,1997
1118809,239606210.0,14000000.0,24462976.0,5.7,John Cornell,1988
1122412,93.0,,,5.9,Dusan Makavejev,1985
